# 1.5x overhead,,,,,,,,,
#umc,,,,,,,,,
#,perlbench,bzip2,gcc,mcf,gobmk,hmmer,sjeng,libquantum,h264ref
#Unrestricted Dropping,0.3159,0.0546,0.1298,0.217,0.2398,0.0564,0.3733,0.1696,0.1418
#Source-Only Dropping,0.4359,0.1185,0.0796,0.157,0.2442,0.3565,0.3742,0.3638,0.2959
#,,,,,,,,,
hb,,,,,,,,,
,perlbench,bzip2,gcc,mcf,gobmk,hmmer,sjeng,libquantum,h264ref
Unrestricted Dropping,0.8965,0.481,0.8036,0.9762,0.8232,0.8518,1,0.9208,0.7865
Source-Only Dropping,0.8816,1,0.8103,0.9882,0.9997,0.9992,1,1,0.8758
,,,,,,,,,
# 2.0x overhead,,,,,,,,,
umc,,,,,,,,,
,perlbench,bzip2,gcc,mcf,gobmk,hmmer,sjeng,libquantum,h264ref
Unrestricted Dropping,0.3482,0.1154,0.1773,0.3141,0.2554,0.1051,0.3874,0.2884,0.1741
Source-Only Dropping,0.45,0.1279,0.1212,0.3046,0.258,0.3599,0.3883,0.4687,0.2998
,,,,,,,,,
#hb,,,,,,,,,
#,perlbench,bzip2,gcc,mcf,gobmk,hmmer,sjeng,libquantum,h264ref
#Unrestricted Dropping,0.9667,0.6382,0.8347,1,1,0.5923,1,1,0.8789
#Source-Only Dropping,0.9882,0.6707,0.9843,1,1,0.9985,1,1,0.9174
